,Unnamed: 0,id,imdb_id,popularity,budget,revenue,original_title,runtime,genres,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
0,0,135397,tt0369610,32.985763,150000000,1513528810,Jurassic World,124,Action|Adventure|Science Fiction|Thriller,6/9/15,5562,6.5,2015,137999939.280026,1392445892.5238
1,1,76341,tt1392190,28.419936,150000000,378436354,Mad Max: Fury Road,120,Action|Adventure|Science Fiction|Thriller,5/13/15,6185,7.1,2015,137999939.280026,348161292.489031
2,2,262500,tt2908446,13.112507,110000000,295238201,Insurgent,119,Adventure|Science Fiction|Thriller,3/18/15,2480,6.3,2015,101199955.472019,271619025.407628
3,3,140607,tt2488496,11.173104,200000000,2068178225,Star Wars: The Force Awakens,136,Action|Adventure|Science Fiction|Fantasy,12/15/15,5292,7.5,2015,183999919.040035,1902723129.80182
4,4,168259,tt2820852,9.335014,190000000,1506249360,Furious 7,137,Action|Crime|Thriller,4/1/15,2947,7.3,2015,174799923.088033,1385748801.47052
5,5,281957,tt1663202,9.1107,135000000,532950503,The Revenant,156,Western|Drama|Adventure|Thriller,12/25/15,3929,7.2,2015,124199945.352024,490314247.021731
6,6,87101,tt1340138,8.654359,155000000,440603537,Terminator Genisys,125,Science Fiction|Action|Thriller|Adventure,6/23/15,2598,5.8,2015,142599937.256027,405355075.683766
7,7,286217,tt3659388,7.6674,108000000,595380321,The Martian,141,Drama|Adventure|Science Fiction,9/30/15,4572,7.6,2015,99359956.2816192,547749654.310152
8,8,211672,tt2293640,7.40416499999999,74000000,1156730962,Minions,91,Family|Animation|Adventure|Comedy,6/17/15,2893,6.5,2015,68079970.0448131,1064192016.79551
9,9,150540,tt2096673,6.326804,175000000,853708609,Inside Out,94,Comedy|Animation|Family,6/9/15,3935,8.0,2015,160999929.160031,785411574.698907
10,10,206647,tt2379713,6.200282,245000000,880674609,Spectre,148,Action|Adventure|Crime,10/26/15,3254,6.2,2015,225399900.824043,810220283.783075
11,11,76757,tt1617661,6.189369,176000003,183987723,Jupiter Ascending,124,Science Fiction|Fantasy|Action|Adventure,2/4/15,1937,5.2,2015,161919931.51523,169268630.681802
12,12,264660,tt0470752,6.118847,15000000,36869414,Ex Machina,108,Drama|Science Fiction,1/21/15,2854,7.6,2015,13799993.9280026,33919845.9552677
13,13,257344,tt2120120,5.984995,88000000,243637091,Pixels,105,Action|Comedy|Science Fiction,7/16/15,1575,5.8,2015,80959964.3776156,224146025.095748
14,14,99861,tt2395427,5.944927,280000000,1405035767,Avengers: Age of Ultron,141,Action|Adventure|Science Fiction,4/22/15,4304,7.4,2015,257599886.656049,1292632336.88177
15,15,273248,tt3460252,5.8984,44000000,155760117,The Hateful Eight,167,Crime|Drama|Mystery|Western,12/25/15,2389,7.4,2015,40479982.1888078,143299244.588332
16,16,260346,tt2446042,5.749758,48000000,325771424,Taken 3,109,Crime|Action|Thriller,1/1/15,1578,6.1,2015,44159980.5696085,299709578.207785
17,17,102899,tt0478970,5.573184,130000000,518602163,Ant-Man,115,Science Fiction|Action|Adventure,7/14/15,3779,7.0,2015,119599947.376023,477113780.029936
18,18,150689,tt1661199,5.556818,95000000,542351353,Cinderella,112,Romance|Fantasy|Family|Drama,3/12/15,1495,6.8,2015,87399961.5440169,498963025.216268
19,19,131634,tt1951266,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,136,War|Adventure|Science Fiction,11/18/15,2380,6.5,2015,147199935.232028,598481289.508232
20,20,158852,tt1964418,5.462138,190000000,209035668,Tomorrowland,130,Action|Family|Science Fiction|Adventure|Mystery,5/19/15,1899,6.2,2015,174799923.088033,192312729.942398
21,21,307081,tt1798684,5.337064,30000000,91709827,Southpaw,123,Action|Drama,6/15/15,1386,7.3,2015,27599987.8560053,84373003.7158783
22,22,254128,tt2126355,4.907832,110000000,470490832,San Andreas,114,Action|Drama|Thriller,5/27/15,2060,6.1,2015,101199955.472019,432851374.985395
23,23,216015,tt2322441,4.71040199999999,40000000,569651467,Fifty Shades of Grey,125,Drama|Romance,2/11/15,1865,5.3,2015,36799983.8080071,524079119.045187
24,24,318846,tt1596363,4.648046,28000000,133346506,The Big Short,130,Comedy|Drama,12/11/15,1545,7.3,2015,25759988.6656049,122678731.541358
25,25,177677,tt2381249,4.566713,150000000,682330139,Mission: Impossible - Rogue Nation,131,Action,7/23/15,2349,7.1,2015,137999939.280026,627743451.672881
26,26,214756,tt2637276,4.564549,68000000,215863606,Ted 2,115,Comedy,6/25/15,1666,6.3,2015,62559972.4736121,198594430.13845
27,27,207703,tt2802144,4.503789,81000000,403802136,Kingsman: The Secret Service,130,Crime|Comedy|Action|Adventure,1/24/15,3833,7.6,2015,74519967.2112144,371497801.660967
28,28,314365,tt1895587,4.062293,20000000,88346473,Spotlight,128,Drama|Thriller|History,11/6/15,1559,7.8,2015,18399991.9040035,81278719.3973634
29,29,294254,tt4046784,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,132,Action|Science Fiction|Thriller,9/9/15,1849,6.4,2015,56119975.3072108,286356245.923251
30,30,280996,tt3168230,3.927333,0,29355203,Mr. Holmes,103,Mystery|Drama,6/19/15,425,6.4,2015,0.0,27006774.877019
31,31,198184,tt1823672,3.899557,49000000,102069268,Chappie,120,Crime|Action|Science Fiction,3/4/15,1990,6.6,2015,45079980.1648087,93903685.2423785
32,32,254470,tt2848292,3.877764,29000000,287506194,Pitch Perfect 2,115,Comedy|Music,5/7/15,1264,6.8,2015,26679988.2608051,264505582.097543
33,33,296098,tt3682448,3.64821,40000000,162610473,Bridge of Spies,141,Thriller|Drama,10/15/15,1638,7.1,2015,36799983.8080071,149601569.335309
34,34,257445,tt1051904,3.644541,58000000,150170815,Goosebumps,103,Adventure|Horror|Comedy,8/5/15,600,6.2,2015,53359976.5216103,138157089.01088
35,35,264644,tt3170832,3.557846,6000000,35401758,Room,117,Drama|Thriller,10/16/15,1520,8.0,2015,5519997.57120106,32569603.0293746
36,36,339527,tt1291570,3.358321,0,22354572,Solace,101,Crime|Drama|Mystery,9/3/15,474,6.2,2015,0.0,20566197.1908732
37,37,105864,tt1979388,3.339135,175000000,331926147,The Good Dinosaur,93,Adventure|Animation|Comedy|Family|Fantasy,11/14/15,1087,6.6,2015,160999929.160031,305371920.876354
38,38,241554,tt2199571,3.23737,50000000,71561644,Run All Night,114,Action|Crime|Drama|Mystery|Thriller,3/11/15,814,6.3,2015,45999979.7600089,65836683.5118592
39,39,167073,tt2381111,3.227329,11000000,62076141,Brooklyn,111,Drama|Romance,11/4/15,754,7.3,2015,10119995.5472019,57110024.5915891
40,40,277216,tt1398426,3.202719,28000000,201634991,Straight Outta Compton,147,Drama|Music,8/13/15,918,7.7,2015,25759988.6656049,185504110.098191
41,41,274854,tt1618442,3.080505,90000000,140396650,The Last Witch Hunter,106,Fantasy|Action|Adventure,10/21/15,879,5.6,2015,82799963.568016,129164861.167461
42,42,321697,tt2080374,3.079522,30000000,34441873,Steve Jobs,122,History|Drama,10/9/15,1035,6.9,2015,27599987.8560053,31686509.2179359
43,43,203801,tt1638355,3.053421,75000000,108145109,The Man from U.N.C.L.E.,116,Comedy|Action|Adventure,8/13/15,1548,7.0,2015,68999969.6400133,99493456.5028791
44,44,293863,tt1655441,3.025852,25000000,42629776,The Age of Adaline,112,Fantasy|Drama|Romance,4/16/15,1221,7.3,2015,22999989.8800044,39219376.6634742
45,45,325348,tt3072482,3.023253,10000000,14333790,Hardcore Henry,97,Action|Adventure|Science Fiction,9/12/15,396,5.9,2015,9199995.95200178,13187080.9976843
46,46,228161,tt2224026,2.976436,135000000,368871007,Home,94,Fantasy|Comedy|Animation|Science Fiction|Family,3/18/15,1060,6.9,2015,124199945.352024,339361177.121082
47,47,286565,tt3622592,2.968254,12000000,85512300,Paper Towns,109,Drama|Mystery|Romance,7/9/15,1252,6.2,2015,11039995.1424021,78671281.3846362
48,48,265208,tt2231253,2.93234,30000000,0,Wild Card,92,Thriller|Crime|Drama,1/14/15,481,5.3,2015,27599987.8560053,0.0
49,49,254320,tt3464902,2.885126,4000000,9064511,The Lobster,118,Thriller|Comedy|Drama|Romance|Science Fiction,10/8/15,638,6.6,2015,3679998.38080071,8339346.45068756
50,50,258480,tt2402927,2.883233,11800000,40272135,Carol,118,Romance|Drama,11/20/15,562,7.1,2015,10855995.2233621,37050347.8978469
51,51,257211,tt2361509,2.814802,35000000,194564672,The Intern,121,Comedy,9/24/15,1255,7.1,2015,32199985.8320062,178999419.480255
52,52,253412,tt2719848,2.798017,55000000,203427584,Everest,121,Adventure|Drama,9/10/15,1172,6.7,2015,50599977.7360098,187153294.93255
